Время;результат;"тип контента";адрес;"исходящих байт";"входящих байт"
"2013-07-05 13:37:37";OK;application/x-javascript;http://ab.goodsblock.marketgid.com/p/j/1514/1;1299;443
"2013-07-05 13:37:37";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/auto/mot/tn.jpg;68353;750
"2013-07-05 13:37:37";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/jeep.jpg;226559;747
"2013-07-05 13:37:38";OK;application/x-javascript;http://connect.facebook.net/en_GB/all.js;66407;397
"2013-07-05 13:37:38";OK;text/javascript;http://engine.adspynet.com/code?;1291;550
"2013-07-05 13:37:38";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post15/tn.jpg;66188;777
"2013-07-05 13:37:38";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/ofitciantka/tn.jpg;53791;787
"2013-07-05 13:37:38";OK;application/x-shockwave-flash;http://content.adspynet.com/2471/240x400_BigFarm_animals_RU.swf?;44078;566
"2013-07-05 13:37:38";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-001.jpg;5039;784
"2013-07-05 13:37:38";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn.jpg;75230;775
"2013-07-05 13:37:38";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0010.jpg;4857;785
"2013-07-05 13:37:38";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0011.jpg;3748;785
"2013-07-05 13:37:39";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0012.jpg;3762;785
"2013-07-05 13:37:39";OK;text/javascript;http://engine.adspynet.com/code?;1286;550
"2013-07-05 13:37:39";OK;application/x-javascript;http://jsc.dt00.net/f/i/fishki.net.16825.js?;34882;372
"2013-07-05 13:37:39";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0013.jpg;4543;785
"2013-07-05 13:37:39";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0014.jpg;2867;785
"2013-07-05 13:37:39";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0015.jpg;4297;785
